name,latitude,longitude
"6/2",44.426903832708,26.035865038927
"6/8",44.418546818548,26.036987910245
"61-63 Dorobanti",44.450254,26.098833
"64 Colentina ",44.4625036,26.1341763
"6C4/2",44.419406578109,26.162431708624
"6Catelu",44.429262907936,26.148194990025
"6Placare-T",44.409617281794,26.17147765595
"6X",44.427268506204,26.175814231755
"7 Berceni Oltenita",44.382201301417,26.135405519137
"7 C4/2",44.422510319579,26.161838957175
"7 Clucerului",44.458744,26.07863
"7 Colentina",44.455835581978,26.131025935733
"7 Crivina",44.45506,26.05431
"7 Călăraşi ",44.4302894,26.1084422
"7 Dinicu Golescu",44.448462,26.069617
"7 Doamna Ghica ",44.460784338422,26.136793039178
"7 Giulești",44.4589043,26.051079
"7 IRTA ",44.4568374,26.1289913
"7 Lavandei",44.440072467637,26.022741731414
"7 Margeanului",44.407819,26.061609
"7 Mosilor",44.440074174092,26.117097664565
"7 Muncii",44.436606873327,26.16290386386
"7 Pantelimon ",44.443113,26.163193
"7 Petre Ispirescu",44.416427,26.061306
"7 Placare-T",44.412199439161,26.162141939986
"7 Sebastian",44.417223,26.068054
"7 Virtuții",44.44159,26.03789
"7 Vitan",44.419379323276,26.128455383519
"7 Zona I",44.379233,26.11894
"7-1 Mai",44.468198,26.062423
"7/2",44.427387,26.041792
"7/5",44.419212431594,26.014243749484
"7C3/2",44.428428923439,26.171201593318
"7X",44.423535786933,26.149599708702
"8 Alexandria",44.404380559627,26.058723219777
"8 Brancoveanu",44.39361699317,26.114225199794
"8 C4/2",44.423698953008,26.158940195893
"8 C5/2",44.417845889585,26.177313867111
"8 Crivina",44.457527102382,26.048227757177
"8 Doamna Ghica ",44.459524667349,26.138342014877
"8 Ghirlandei",44.438951839426,26.02096827993
"8 Margeanului",44.405762527794,26.059230247293
"8 Muncii",44.437298987303,26.165320448924
"8 Pantelimon ",44.4427056,26.1698271
"8 Placare-T",44.412379993968,26.160062280551
"8 Virtuții",44.443182283719,26.033371920951
"8-1 Mai",44.456249,26.080646
"8/5",44.420517078305,26.018216034686
"8A",44.415002282063,26.176025562158
"8C3/2",44.428819508804,26.174224981189
"8X",44.428732862098,26.164284757827
"9 Brâncoveanu",44.392684134422,26.117443501343
"9 C5/2",44.416582456464,26.178722309387
"9 Catelu",44.429737048126,26.150138060181
"9 Crivina",44.453035042298,26.053113541276
"9 Farado",44.385945117558,26.089946635982
"9 Laborator ",44.418458983432,26.14118554273
"9 Margeanului",44.411109,26.064209
"9 Pantelimon ",44.441830977511,26.170926536434
"9 Placare-T",44.41344,26.153604
"9 Titulescu",44.452477,26.078511
"9 Vitan",44.41682203405,26.128856573161
"9-1 Mai",44.458875,26.075837
"9/4",44.42592757058,26.023833634794
"9C4/2",44.416678975647,26.157069172601
"A Gara",44.445302,26.077775
"A Grant",44.456843,26.061751
"A2 Basarabia ",44.4329235,26.1509421
"A4 Basarabia ",44.43308,26.1548599
"ALMO",44.449764,26.125831
"ALPAB BIROURI Ghencea",44.408655,26.026053
"ARTIM SOCOM",44.46387,26.04128
"ASAS",44.472439,26.070128
"AUTOCENTER ",44.441444,26.116503
"Agronom Seminţe",44.468692,26.062234
"Aleea Circului",44.4532304,26.1103072
"Almașul Mare",44.383011080574,26.095455589788
"Anchor Group",44.428041,26.035828
"Ansamblul QUADRA PLACE I ",44.439567,26.039708
"Ansamblul QUADRA PLACE II",44.439015,26.043583
"Ansamblul TEN BLOCKS",44.432575,25.999565
"Asociatia Diaconia",44.414968,26.123107
"Asociatia Medicala TITAN",44.42075,26.165306
"Atelier Vicarb",44.449766,26.082168
"Av. Sanatescu",44.46557,26.070469
"Aviatorilor & Office Building S.R.L",44.454089,26.087229
"B 3 Cauzasi",44.4253034,26.1062371
"B Dinicu Golescu",44.444327,26.075622
"B Giulești",44.4619876,26.0433243
"B.N.",44.406528,26.162944
"BAZINE",44.435666,26.146428
"BCR Unirea",44.42675,26.112583
"BL U114 (UM 02544/B1)",44.431641,26.111937
"Barbu Vacarescu",44.4551644,26.1059908
"Beller Bitolia",44.461315,26.095018
"Biblioteca Nationala ",44.427333,26.110639
"Biblioteca Odobescu ",44.443965,26.127654
"Biserica Marcuta ",44.444579,26.1728
"Bl.100",44.4434114,26.1486787
"Bloc 50",44.43739,26.0147
"C.A.",44.407716,26.127998
"C.C.",44.402745,26.147326
"C.F.",44.407139,26.162917
"C.I.T.A.M.",44.431591,25.990891
"C1 Vatra Luminoasa ",44.438674977805,26.14380775646
"C16 Mihai Bravu ",44.4421889,26.1328203
"C3 Căuzaşi ",44.4276679,26.1060651
"C4",44.43248485554,26.162094813778
"CAMIN 303",44.44030380249,26.06918
"CASA ACADEMIEI",44.422466,26.087029
"CEFIN",44.446972,26.131306
"CET LABORATOR",44.438385,26.046109
"CONDOR",44.438532,26.176155
"CSA Steaua - Sala Sport ""Mihai Viteazu"" UM 01026 (2301)                        ",44.42951,26.055028
"CT Floreasca",44.4628711,26.1002561
"CT Stoian Militaru",44.3950411,26.0998712
