incident_id,estimated_restore,first_seen_ts,last_seen_ts
bea65221c930,2023-09-05T23:30,2023-09-04T12:00:01,2023-09-05T22:00:01
bea65221c930,2023-09-06T23:30,2023-09-05T23:00:01,2023-09-06T23:00:01
906608fde61d,2023-09-05T23:30,2023-09-04T12:00:01,2023-09-05T22:00:01
906608fde61d,2023-09-06T23:30,2023-09-05T23:00:01,2023-09-06T23:00:01
134eaf10233e,2023-09-05T23:30,2023-09-04T12:00:01,2023-09-05T22:00:01
134eaf10233e,2023-09-06T23:30,2023-09-05T23:00:01,2023-09-06T23:00:01
71e151aefdec,2023-09-05T23:30,2023-09-04T12:00:01,2023-09-05T22:00:01
71e151aefdec,2023-09-06T23:30,2023-09-05T23:00:01,2023-09-06T23:00:01
dc036ef5061a,2023-09-05T23:30,2023-09-04T12:00:01,2023-09-05T22:00:01
dc036ef5061a,2023-09-06T23:30,2023-09-05T23:00:01,2023-09-06T23:00:01
a6576f373130,2023-09-08T23:00,2023-09-04T12:00:01,2023-09-08T22:00:01
d013d518c74f,2023-09-08T23:00,2023-09-04T12:00:01,2023-09-08T22:00:01
7ad10756197c,2023-09-04T16:00,2023-09-04T12:00:01,2023-09-04T13:00:01
f464c5b168c3,2023-09-04T16:00,2023-09-04T12:00:01,2023-09-04T13:00:01
fafe0de5805a,2023-09-04T16:00,2023-09-04T12:00:01,2023-09-04T13:00:01
5619a74c4aed,2023-09-04T16:00,2023-09-04T12:00:01,2023-09-04T13:00:01
dc15a6185a6b,2023-09-04T16:00,2023-09-04T12:00:01,2023-09-04T13:00:01
0d84dfaaf434,2023-09-04T16:00,2023-09-04T12:00:01,2023-09-04T13:00:01
0ed599a064fb,2023-09-04T16:00,2023-09-04T12:00:01,2023-09-04T13:00:01
0fea2e7ed248,2023-09-04T16:00,2023-09-04T12:00:01,2023-09-04T13:00:01
a45be70c629a,2023-09-04T16:00,2023-09-04T12:00:01,2023-09-04T13:00:01
4dfbf8b6c18e,2023-09-04T16:00,2023-09-04T12:00:01,2023-09-04T13:00:01
aa250cf0293a,2023-09-04T16:00,2023-09-04T12:00:01,2023-09-04T13:00:01
daa876f7323c,2023-09-04T16:00,2023-09-04T12:00:01,2023-09-04T13:00:01
981b13ddb106,2023-09-04T16:00,2023-09-04T12:00:01,2023-09-04T13:00:01
9da5b45d8a06,2023-09-05T23:00,2023-09-04T13:00:01,2023-09-04T19:00:01
9da5b45d8a06,2023-09-06T23:00,2023-09-04T20:00:01,2023-09-06T22:00:01
9da5b45d8a06,2023-09-07T06:00,2023-09-06T23:00:01,2023-09-07T01:00:01
d4de9a917804,2023-09-05T23:00,2023-09-04T13:00:01,2023-09-04T19:00:01
d4de9a917804,2023-09-06T23:00,2023-09-04T20:00:01,2023-09-06T22:00:01
d4de9a917804,2023-09-07T06:00,2023-09-06T23:00:01,2023-09-07T01:00:01
1a7c6a78710f,2023-09-05T23:00,2023-09-04T13:00:01,2023-09-04T19:00:01
1a7c6a78710f,2023-09-06T23:00,2023-09-04T20:00:01,2023-09-06T22:00:01
1a7c6a78710f,2023-09-07T06:00,2023-09-06T23:00:01,2023-09-07T01:00:01
17f43cdc4e31,2023-09-05T23:00,2023-09-04T13:00:01,2023-09-04T19:00:01
17f43cdc4e31,2023-09-06T23:00,2023-09-04T20:00:01,2023-09-06T22:00:01
17f43cdc4e31,2023-09-07T06:00,2023-09-06T23:00:01,2023-09-07T01:00:01
b86febd47a90,2023-09-05T23:00,2023-09-04T13:00:01,2023-09-04T19:00:01
b86febd47a90,2023-09-06T23:00,2023-09-04T20:00:01,2023-09-06T22:00:01
b86febd47a90,2023-09-07T06:00,2023-09-06T23:00:01,2023-09-07T01:00:01
c9d8a6aa69c9,2023-09-05T23:00,2023-09-04T13:00:01,2023-09-04T19:00:01
c9d8a6aa69c9,2023-09-06T23:00,2023-09-04T20:00:01,2023-09-06T22:00:01
c9d8a6aa69c9,2023-09-07T06:00,2023-09-06T23:00:01,2023-09-07T01:00:01
39a7961774f5,2023-09-05T23:00,2023-09-04T13:00:01,2023-09-04T19:00:01
39a7961774f5,2023-09-06T23:00,2023-09-04T20:00:01,2023-09-06T22:00:01
39a7961774f5,2023-09-07T06:00,2023-09-06T23:00:01,2023-09-07T01:00:01
3d1014bcac6f,2023-09-05T23:00,2023-09-04T13:00:01,2023-09-05T18:00:01
3d1014bcac6f,2023-09-06T23:00,2023-09-05T20:00:01,2023-09-06T22:00:01
3d1014bcac6f,2023-09-07T08:00,2023-09-06T23:00:01,2023-09-07T07:00:01
3d1014bcac6f,2023-09-07T16:00,2023-09-07T08:00:01,2023-09-07T12:00:01
3d1014bcac6f,2023-09-07T20:00,2023-09-07T13:00:01,2023-09-07T19:00:01
f25aebccd4b7,2023-09-05T23:00,2023-09-04T13:00:01,2023-09-05T18:00:01
f25aebccd4b7,2023-09-06T23:00,2023-09-05T20:00:01,2023-09-06T22:00:01
f25aebccd4b7,2023-09-07T08:00,2023-09-06T23:00:01,2023-09-07T07:00:01
f25aebccd4b7,2023-09-07T16:00,2023-09-07T08:00:01,2023-09-07T12:00:01
f25aebccd4b7,2023-09-07T20:00,2023-09-07T13:00:01,2023-09-07T19:00:01
af05e5652abb,2023-09-05T23:00,2023-09-04T13:00:01,2023-09-05T18:00:01
af05e5652abb,2023-09-06T23:00,2023-09-05T20:00:01,2023-09-06T22:00:01
af05e5652abb,2023-09-07T08:00,2023-09-06T23:00:01,2023-09-07T07:00:01
af05e5652abb,2023-09-07T16:00,2023-09-07T08:00:01,2023-09-07T12:00:01
af05e5652abb,2023-09-07T20:00,2023-09-07T13:00:01,2023-09-07T19:00:01
f7c1b1a6b7ef,2023-09-05T23:00,2023-09-04T13:00:01,2023-09-05T18:00:01
f7c1b1a6b7ef,2023-09-06T23:00,2023-09-05T20:00:01,2023-09-06T22:00:01
f7c1b1a6b7ef,2023-09-07T08:00,2023-09-06T23:00:01,2023-09-07T07:00:01
f7c1b1a6b7ef,2023-09-07T16:00,2023-09-07T08:00:01,2023-09-07T12:00:01
f7c1b1a6b7ef,2023-09-07T20:00,2023-09-07T13:00:01,2023-09-07T19:00:01
5e9a715e07c4,2023-09-05T23:00,2023-09-04T13:00:01,2023-09-05T18:00:01
5e9a715e07c4,2023-09-06T23:00,2023-09-05T20:00:01,2023-09-06T22:00:01
5e9a715e07c4,2023-09-07T08:00,2023-09-06T23:00:01,2023-09-07T07:00:01
5e9a715e07c4,2023-09-07T16:00,2023-09-07T08:00:01,2023-09-07T12:00:01
5e9a715e07c4,2023-09-07T20:00,2023-09-07T13:00:01,2023-09-07T19:00:01
dc8ebbc25af3,2023-09-05T23:00,2023-09-04T13:00:01,2023-09-05T18:00:01
dc8ebbc25af3,2023-09-06T23:00,2023-09-05T20:00:01,2023-09-06T22:00:01
dc8ebbc25af3,2023-09-07T08:00,2023-09-06T23:00:01,2023-09-07T07:00:01
dc8ebbc25af3,2023-09-07T16:00,2023-09-07T08:00:01,2023-09-07T12:00:01
dc8ebbc25af3,2023-09-07T20:00,2023-09-07T13:00:01,2023-09-07T19:00:01
d720269459bf,2023-09-05T23:00,2023-09-04T14:00:02,2023-09-04T19:00:01
d720269459bf,2023-09-06T23:00,2023-09-04T20:00:01,2023-09-06T22:00:01
d720269459bf,2023-09-07T06:00,2023-09-06T23:00:01,2023-09-07T01:00:01
ccc78edc5581,2023-09-08T23:00,2023-09-04T14:00:02,2023-09-08T21:00:01
abdeb523185e,2023-09-04T16:00,2023-09-04T14:00:02,2023-09-04T15:00:01
